,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
72,Burkina Faso,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,67.05887,UIS
75,Burundi,Out-of-school rate for youth of upper secondary school age,Total,,,,2021.0,61.80563,UIS
78,Cabo Verde,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,26.62177,UIS
81,Cambodia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,55.06271,UIS
84,Cameroon,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,54.05766,UIS
87,Canada,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,11.87547,UIS
90,Central African Republic,Out-of-school rate for youth of upper secondary school age,Total,,,,2017.0,80.93191,UIS
93,Chad,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,77.85227,UIS
96,Chile,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,4.70747,UIS
99,Colombia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,16.87307,UIS
102,Comoros,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,49.87252,UIS
105,Cook Islands,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,27.9597,UIS
108,Costa Rica,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,8.30011,UIS
111,Croatia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,12.28074,UIS
114,Cuba,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,14.50617,UIS
117,Cyprus,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,7.41599,UIS
120,Czechia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,4.28495,UIS
123,Côte d'Ivoire,Out-of-school rate for youth of upper secondary school age,Total,,,,2021.0,58.15967,UIS
126,Denmark,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,9.28519,UIS
129,Djibouti,Out-of-school rate for youth of upper secondary school age,Total,,,,2021.0,52.64807,UIS
132,Dominica,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,20.34339,UIS
135,Dominican Republic,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,26.31566,UIS
147,Ecuador,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,21.32748,UIS
150,Egypt,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,23.41334,UIS
153,El Salvador,Out-of-school rate for youth of upper secondary school age,Total,,,,2021.0,41.3754,UIS
156,Eritrea,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,48.69667,UIS
159,Estonia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,1.99149,UIS
162,Eswatini,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,16.18668,UIS
165,Ethiopia,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,74.01042,UIS
171,Fiji,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,16.97782,UIS
174,Finland,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,3.81659,UIS
177,France,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,4.08296,UIS
180,Gabon,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,41.80676,UIS
183,Gambia,Out-of-school rate for youth of upper secondary school age,Total,,,,2021.0,42.60082,UIS
186,Georgia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,5.03598,UIS
189,Germany,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,14.77075,UIS
192,Ghana,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,24.83153,UIS
195,Greece,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,1.00562,UIS
198,Grenada,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,0.13537,UIS
201,Guatemala,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,63.0151,UIS
204,Guinea,Out-of-school rate for youth of upper secondary school age,Total,,,,2016.0,70.63212,UIS
207,Holy See,Out-of-school rate for youth of upper secondary school age,Total,,,,2022.0,0.0,UIS
210,Honduras,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,57.71719,UIS
213,Hungary,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,12.00141,UIS
216,Iceland,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,15.78885,UIS
219,India,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,42.37582,UIS
222,Indonesia,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,22.52996,UIS
225,Iran (Islamic Republic of),Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,17.27065,UIS
228,Ireland,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,1.77185,UIS
229,Israel,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,1.98906,UIS
232,Italy,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,5.72865,UIS
235,Jamaica,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,45.59831,UIS
238,Jordan,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,43.42413,UIS
239,Kazakhstan,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,1.08328,UIS
242,Kuwait,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,18.29435,UIS
245,Kyrgyzstan,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,27.31786,UIS
248,Lao People's Democratic Republic,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,47.24744,UIS
254,Latvia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,4.779,UIS
260,Lesotho,Out-of-school rate for youth of upper secondary school age,Total,,,,2016.0,33.91721,UIS
263,Liberia,Out-of-school rate for youth of upper secondary school age,Total,,,,2014.0,25.53206,UIS
266,Liechtenstein,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,8.79668,UIS
269,Lithuania,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,2.78886,UIS
272,Luxembourg,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,19.03034,UIS
275,Madagascar,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,63.78891,UIS
278,Malawi,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,68.95038,UIS
281,Malaysia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,39.50272,UIS
284,Maldives,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,50.0395,UIS
287,Mali,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,75.13049,UIS
290,Malta,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,8.30951,UIS
293,Marshall Islands,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,43.40623,UIS
296,Mauritania,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,60.95711,UIS
299,Mauritius,Out-of-school rate for youth of upper secondary school age,Total,,,,2021.0,21.83886,UIS
302,Mexico,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,26.65224,UIS
308,Mongolia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,11.83761,UIS
311,Montenegro,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,11.75157,UIS
312,Montserrat,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,16.15385,UIS
315,Morocco,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,25.39753,UIS
318,Mozambique,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,61.26224,UIS
321,Myanmar,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,42.65935,UIS
324,Namibia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,22.63805,UIS
327,Nauru,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,5.26316,UIS
330,Nepal,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,19.3217,UIS
333,Netherlands,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,0.8805,UIS
336,New Zealand,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,1.04923,UIS
339,Niger,Out-of-school rate for youth of upper secondary school age,Total,,,,2017.0,86.14805,UIS
340,Niue,Out-of-school rate for youth of upper secondary school age,Total,,,,2014.0,8.94309,UIS
346,Norway,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,8.18122,UIS
349,Oman,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,9.89244,UIS
352,Panama,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,33.18219,UIS
355,Papua New Guinea,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,55.01612,UIS
358,Paraguay,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,30.03612,UIS
361,Peru,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,3.69842,UIS
364,Philippines,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,20.49709,UIS
367,Poland,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,2.31865,UIS
368,Portugal,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,0.26422,UIS
371,Republic of Korea,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,7.45632,UIS
374,Republic of Moldova,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,12.29853,UIS
377,Romania,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,20.21641,UIS
380,Russian Federation,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,2.47727,UIS
383,Rwanda,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,49.79593,UIS
386,Saint Kitts and Nevis,Out-of-school rate for youth of upper secondary school age,Total,,,,2016.0,4.49231,UIS
389,Saint Lucia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,16.48224,UIS
392,Saint Vincent and the Grenadines,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,17.71088,UIS
395,Samoa,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,16.22574,UIS
398,San Marino,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,57.21012,UIS
401,Sao Tome and Principe,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,17.33744,UIS
404,Saudi Arabia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,3.54278,UIS
407,Senegal,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,80.04758,UIS
410,Serbia,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,14.38136,UIS
413,Seychelles,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,14.44573,UIS
416,Sierra Leone,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,65.45344,UIS
419,Singapore,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,0.27337,UIS
422,Slovakia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,11.34644,UIS
425,Slovenia,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,1.21207,UIS
426,Solomon Islands,Out-of-school rate for youth of upper secondary school age,Total,,,,2017.0,34.25874,UIS
429,South Africa,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,20.94147,UIS
435,South Sudan,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,64.30673,UIS
438,Spain,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,0.81742,UIS
441,Sri Lanka,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,15.78832,UIS
444,State of Palestine,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,23.48724,UIS
450,Sudan,Out-of-school rate for youth of upper secondary school age,Total,,,,2018.0,51.6245,UIS
453,Suriname,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,37.91468,UIS
456,Sweden,Out-of-school rate for youth of upper secondary school age,Total,,,,2016.0,1.32312,UIS
459,Switzerland,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,18.89084,UIS
462,Tajikistan,Out-of-school rate for youth of upper secondary school age,Total,,,,2017.0,22.63631,UIS
465,Thailand,Out-of-school rate for youth of upper secondary school age,Total,,,,2015.0,20.91719,UIS
468,Timor-Leste,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,24.22807,UIS
471,Togo,Out-of-school rate for youth of upper secondary school age,Total,,,,2017.0,56.0761,UIS
474,Tokelau,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,29.57746,UIS
477,Tonga,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,41.35123,UIS
480,Trinidad and Tobago,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,25.76558,UIS
483,Turks and Caicos Islands,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,44.73896,UIS
486,Tuvalu,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,64.66381,UIS
489,Türkiye,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,18.18393,UIS
492,Uganda,Out-of-school rate for youth of upper secondary school age,Total,,,,2017.0,75.00986,UIS
495,Ukraine,Out-of-school rate for youth of upper secondary school age,Total,,,,2014.0,5.88308,UIS
498,United Arab Emirates,Out-of-school rate for youth of upper secondary school age,Total,,,,2020.0,2.17404,UIS
501,United Kingdom,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,3.43264,UIS
504,United Republic of Tanzania,Out-of-school rate for youth of upper secondary school age,Total,,,,2016.0,85.77532,UIS
507,United States,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,3.75075,UIS
510,Uruguay,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,10.68979,UIS
513,Uzbekistan,Out-of-school rate for youth of upper secondary school age,Total,,,,2019.0,14.30174,UIS
